pair_id,AF3-SHAP12,ESM-2,ESM-3,ESM-C,AF3-SHAP12+ESM-2,AF3-SHAP12+ESM-3,AF3-SHAP12+ESM-C
pos_q61457_p97377,0.9983871,0.9035096,0.5183541,0.87698406,0.9991404,0.97012705,0.99991345
pos_q62351_q921i1,0.9919173,0.33919322,0.0063132932,0.213307,0.9741566,0.7137642,0.99320376
pos_o54890_p43406,0.99538654,0.450084,0.8188406,0.8716654,0.99970657,0.98746777,0.99853265
pos_p25322_p30285,0.9956676,0.47784984,0.72519124,0.8824657,0.98516256,0.94225425,0.9997198
pos_q61458_q03147,0.9926845,0.1797649,0.23639189,0.6291533,0.9114942,0.92345345,0.9977337
pos_p30882_p51682,0.18823843,0.14152762,0.6552892,0.17027263,0.9928636,0.98543173,0.95711505
pos_p70170_p97794,0.99528605,0.72793114,0.47109458,0.4792178,0.98741037,0.8014767,0.9927182
pos_p30882_p51675,0.1863284,0.14160857,0.572763,0.13459751,0.99312556,0.9814882,0.94371575
pos_q9z239_p05132,0.035654828,0.17159835,0.03353837,0.38812622,0.66100967,0.59764975,0.6717189
pos_o70325_a0a0r4j135,0.5,0.5,0.5,0.5,0.5,0.5,0.5
pos_q3t9y0_q9eq00,0.4871433,0.844927,0.34881413,0.45081273,0.41064346,0.44465196,0.8341899
pos_q8k1d8_p63085,0.013878754,0.29930687,0.12564316,0.40217075,0.35894915,0.4806249,0.29929546
pos_p28474_q00519,0.36027837,0.671188,0.18618739,0.5706044,0.44356692,0.25514588,0.2036134
pos_p49442_p03930,0.093905695,0.01165021,0.0096827,0.032118734,0.00578251,0.16891797,0.028739776
pos_o54962_q99mk8,0.031613644,0.3428972,0.06247462,0.115052,0.14710933,0.31897599,0.03615422
pos_p08228_o09164,0.9877143,0.42707708,0.18986057,0.1629321,0.9877059,0.9205919,0.9869769
pos_p10126_o70251,0.99971324,0.7678673,0.039983917,0.41129056,0.99900454,0.95578057,0.89309907
pos_q61056_q9qx29,0.9970799,0.9080343,0.97703266,0.7714956,0.99891174,0.97220933,0.9982039
pos_p07758_q3up87,0.99796045,0.80207163,0.042582992,0.07277985,0.99648166,0.9598622,0.9992772
pos_p83940_p40338,0.98886174,0.41559693,0.84732646,0.28661367,0.998395,0.9524093,0.8917486
pos_p28293_p97430,0.99912924,0.27125865,0.05270483,0.87940574,0.99917775,0.97684485,0.99961156
pos_p25322_q64261,0.99595356,0.42643481,0.73997855,0.8346331,0.9866036,0.9412966,0.99976116
pos_q8bfv3_q63844,0.9876572,0.9551869,0.6077747,0.9692765,0.9981772,0.96819425,0.9984421
pos_q9dbb1_p63085,0.97442734,0.9470498,0.5137577,0.8938676,0.99745065,0.95747215,0.9975145
pos_q61056_q9wvc5,0.9964194,0.8017475,0.9787875,0.57813233,0.99822026,0.964573,0.99585354
pos_p97429_p14824,0.96971804,0.80360544,0.26272595,0.353488,0.93695766,0.468415,0.9048321
pos_q64261_p51945,0.99110585,0.37504646,0.7054767,0.8572326,0.93187994,0.85599476,0.99601054
pos_a2aq92_q8ve49,0.9968077,0.6532212,0.2720739,0.58285165,0.99656576,0.73812276,0.99906296000000006
pos_p19788_q9qyc7,0.0547079,0.0017194557,0.0016673194,0.028331522,0.060214303,0.42553684,0.33972618
pos_o89093_o54689,0.26009762,0.62541324,0.87911433,0.6678579,0.99804026,0.9789988,0.9996722
pos_p10889_p35343,0.23039168,0.057836577,0.7317806,0.15180795,0.9423069,0.9791434,0.9823116
pos_p56485_p40224,0.9726491,0.4812463,0.68472195,0.12989092,0.9997514,0.92707044,0.9947429
pos_p48298_p51678,0.18009718,0.87487656,0.49967584,0.15046787,0.9981036,0.94472766,0.46594185
pos_p15409_p62746,0.9835141,0.9575069,0.08578088,0.6390177,0.99583995,0.812542,0.95794755
pos_p00397_p47811,0.9196678,0.01451251,0.44457784,0.6853644,0.98463595,0.672082,0.89330316
pos_q8r3r8_o35409,0.5681378,0.010516168,0.01993244,0.38949347,0.0783675,0.38960606,0.22401445
pos_q8vi38_q8bti9,0.6809237,0.28444347,0.13839087,0.53766954,0.26972923,0.4637267,0.43892518
pos_q8r0i0_q9r0r4,0.07351656,0.0154675385,0.030645998,0.023397267,0.0018696488,0.046482667,0.0034514384
pos_p61014_q9jhb2,0.0021181966,0.118146,0.021267362,0.32582593,0.08026252,0.08189381,0.001790034
pos_q9eqh2_q8r1y2,0.09482449,0.0054145264,0.07785404,0.12756261,0.09666519,0.10896731,0.09075002
pos_p70170_p60761,0.003735161,0.0023774258,0.0143117495,0.010997513,0.049395055,0.08834434,0.0049094367
pos_q9bcz4_p39655,0.007965186,7.996236e-4,0.015554494,0.017582476,0.006223525,0.10463737,0.021985687
pos_p51943_p11440,0.99760664,0.8991972,0.32407716,0.97915363,0.9966853,0.9719072,0.99980325
pos_p42337_p26450,0.9789164,0.9494494,0.9464106,0.6776679,0.9997578,0.9958268,0.9963877
pos_q9jln9_q921j2,0.99501145,0.26572943,0.002378935,0.19366254,0.9914971,0.7253786,0.99526066
pos_q61056_q9quq5,0.99569124,0.88419443,0.9695169,0.57816756,0.99858785,0.96717125,0.99400324
pos_q61056_q61143,0.9962071,0.7747449,0.9843402,0.63606465,0.9978732,0.9636996,0.99539244
pos_o35350_o88456,0.99970067,0.55516756,0.44128782,0.1701319,0.99852353,0.98250440000000006,0.970236
pos_q61056_q9qzc1,0.99422944,0.6435309,0.98361087,0.5766641,0.99736387,0.96518385,0.9892658
pos_q9d1n2_p11152,0.9095888,0.60237134,0.037034635,0.6401891,0.9943111,0.89738965,0.996253
pos_q91wd5_q9dc70,0.99839205,0.13022366,0.1848412,0.45703587,0.9993767,0.81829107,0.973046
pos_q9wvl0_q3ufd7,0.9579607,0.00590162,0.31706542,0.07505562,0.75245625,0.5813295,0.9234929
pos_q91y86_p12025,0.95872575,0.21715023,0.028915795,0.2740158,0.7186923,0.93106014,0.99414235
pos_p35343_q9eqi5,0.99662787,0.0931986,0.88877237,0.4343563,0.9933674,0.95946115,0.99515957
pos_q03366_p51675,0.08454592,0.6093522,0.83136994,0.42371893,0.993729,0.9596246,0.9965928
pos_q9d832_q9eqh2,0.4663367,0.029088333,0.10734124,0.10555015,0.36463875,0.38150367,0.32747006
pos_q9d3s5_q9jkp8,0.9463397,0.078430355,0.013611184,0.010922879,0.31424424,0.17040953,0.4845639
pos_q05020_p11152,0.027775876,0.003272303,0.009827438,0.054305844,0.0018531935,0.08294655,0.014581057
pos_q8k1d8_q9wv60,0.0014353469,0.07480561,0.023522843,0.038416687,0.03683133,0.43396974,5.6097296e-4
pos_q80t19_q9d711,0.022815762,0.047941756,0.0147335,0.0023002985,0.0053777434,0.1174326,0.0012906977
pos_p28843_p07321,0.20163244,0.14902812,4.2322138e-4,0.14068861,0.31093958,0.043281075,0.1255936
pos_p48999_p30355,0.28196833,0.0048849466,0.041388005,0.030411592,0.0037190998,0.052826714,0.006049692
pos_q62048_o35409,0.0015164316,0.01499593,0.0052671144,0.19928966,0.00840838,0.1721544,0.057857614
pos_p24860_p11440,0.9976025,0.3630764,0.4434103,0.9553926,0.9951025,0.9710887,0.9999082
pos_p20612_p15409,0.98781556,0.7173845,0.05503479,0.7611559,0.99894613,0.9081215,0.99917173
pos_q91y86_q8btr5,0.9964664,0.7689968,0.4239144,0.33867738,0.99882907,0.9353255,0.9912709
pos_p70677_p97864,0.9987613,0.91451734,0.75628,0.8889446,0.9941204,0.9578768,0.9951866
pos_o54890_q9qum0,0.9955884,0.52341914,0.88213074,0.89095163,0.9999193,0.9871256,0.99924207
pos_p70375_p20352,0.99774396,0.68657374,0.16363457,0.57348275,0.9966306,0.9805747,0.9969036
pos_q9qzc1_q61143,0.996756,0.5556055,0.98934424,0.637591,0.99848664,0.9704129,0.99293995
pos_q9qxh4_p11835,0.9979938,0.6848325,0.85882735,0.91084844,0.99993086,0.9825885,0.9995827
pos_q9qzc1_q9wvc5,0.9956493,0.5930927,0.9891143,0.6043931,0.9977664,0.96848565,0.9924964
pos_p40224_p70658,0.18100125,0.35448688,0.642233,0.2326594,0.99643517,0.95685595,0.92847496
pos_p12850_p35343,0.11545082,0.075527854,0.6854957,0.30536014,0.9186732,0.97093517,0.96038854
pos_p17515_o88410,0.07709179,0.09945708,0.8803921,0.26635158,0.99285865,0.9767397,0.99802375
pos_p16675_q9jmh3,0.89855367,0.19432035,0.18195502,0.22055648,0.7138008,0.56791586,0.25163063
pos_q9wua6_p42337,0.56079394,0.8323253,0.82234055,0.80062526,0.9618181,0.87708706,0.8337693
pos_p28843_q1wg82,0.23321207,0.033260386,0.0038575581,0.3967789,0.045505848,0.32853395,0.01583954
pos_p33622_p11152,0.006357146,0.020669011,0.006929989,0.0067352946,0.0011797475,0.07858167,0.015465128
pos_q6b966_d3z249,0.03366554,0.32681155,0.2922974,0.048930164,0.1091928,0.2529727,0.003148515
pos_q08857_p31725,0.5073288,0.019691177,0.027401837,0.6706904,0.626252,0.4536252,0.3035718
pos_q08857_q9z126,0.13110842,0.13897103,0.29198045,0.27291265,0.035228934,0.5717376,0.038130485
pos_q9r111_p15532,0.60883033,0.42018515,0.004408646,0.46326914,0.6294328,0.12061146,0.40646365
pos_q8cjg0_p23927,0.09160478,0.17516312,0.04248666,0.08154834,0.13279177,0.22915933,0.12243357
pos_p28843_p08505,0.117303975,0.11200114,0.0011752896,0.08827432,0.100966156,0.05408623,0.034784626
pos_p49615_p61809,0.9906696,0.5398245,0.4733504,0.40473184,0.9874214,0.9675321,0.9997627
pos_p97377_p51943,0.9944084,0.54049367,0.56729496,0.89105135,0.99406946,0.97065365,0.9994634
pos_p41241_p05480,0.96698606,0.9965829,0.9980768,0.944051,0.99919325,0.9953408,0.9983759
pos_p01027_p04186,0.99858034,0.41508856,0.7554011,0.3820798,0.9993857,0.9757766,0.99873096
pos_q9equ3_q8vcw4,0.99756753,0.26019162,0.8165057,0.3820427,0.99942005,0.86198956,0.9975458
pos_b7zwm4_q9d311,0.9973719,0.47458377,0.1528313,0.3732163,0.99560344,0.73659647,0.9983329
pos_q91yi4_q9es90,0.9964773,0.21880831,0.26117262,0.46424747,0.99932873,0.908859,0.92892295
pos_a0a1y7vp50_p05017,0.7565353,0.027373824,0.008457727,0.108356856,0.08783395,0.62440085,0.8289109
pos_q9cqh0_q923i7,0.096155934,0.046579592,0.05684769,0.115992956,0.8280049,0.4222103,0.9966723
pos_q9jjn1_o35082,0.7380027,0.22661898,0.033927184,0.70699894,0.99161536,0.8594279,0.9647108
pos_q80w65_p22777,0.95997995,0.7207656,0.10468279,0.23413356,0.8987894,0.41294283,0.7797444
pos_q8bmt4_p08228,0.7482331,0.2040152,0.0238042,0.2078869,0.8518846,0.33108494,0.6566054
pos_q03366_p51678,0.038676795,0.6387941,0.85020673,0.51961446,0.9782306,0.9334931,0.98967946
pos_o35622_o35082,0.26362377,0.062252626,0.016277948,0.67958224,0.5506417,0.46948624,0.825298
pos_o08529_q91y86,0.8033207,0.39315352,0.16395575,0.6403991,0.9450692,0.83415353,0.82742226
pos_p28843_p06804,0.79833454,0.840285,0.002146129,0.24950483,0.9369826,0.29617935,0.20264597
pos_q9jhg7_o08586,0.6746066,0.97445583,0.48462495,0.6076167,0.7670786,0.64694697,0.43191865
pos_q9r1s7_p03930,9.0100843e-4,0.3634404,0.010043476,0.5228757,0.002360056,0.1525199,0.18579991
pos_p24270_p08228,0.6490005,0.035074707,0.041262247,0.08424889,0.5166104,0.3089199,0.07437612
pos_q9r1e6_p06804,0.35316,0.4858573,0.054214876,0.38665703,0.09829787,0.27074727,0.022866266
pos_q91uz5_p60761,0.088364914,0.008971949,0.02553789,0.0042419336,0.2938308,0.17103918,0.03976166
pos_q9d7c9_q64727,0.2538403,0.10438031,0.177318,0.06892537,0.099571,0.208898,0.05686688
pos_p39655_p06804,0.22295092,0.31433246,0.11300789,0.035454128,0.29037803,0.17682943,0.0027660867
pos_p48999_q6p3a9,0.36457393,0.057543106,0.31418598,0.20229797,0.4713861,0.37078115,0.28686276
pos_q3v1d3_p31786,0.01759649,0.2451272,0.03769007,0.05398575,0.1584185,0.062123127,0.027463017
pos_q9wv54_p60761,0.012095462,1.732325e-5,4.214672e-4,0.012466374,0.013755976,0.068602026,0.0011099497
pos_q9jhf9_q9quk6,0.9737748,0.9552841,0.59291744,0.22043665,0.9928691,0.91381115,0.9916053
pos_q9cz13_q9cr68,0.9754286,0.42919406,0.038652014,0.30808613,0.9804037,0.9207207,0.9831902
pos_q9qzc1_q9quq5,0.99693704,0.6748553,0.9802744,0.6003878,0.997439,0.96500313,0.9921474
pos_p33434_p12032,0.99308795,0.59329367,0.7933834,0.21464913,0.97377115,0.93003327,0.9698944
pos_q6pe70_p43406,0.9961622,0.7595299,0.9574341,0.65304404,0.99951816,0.98627037,0.99957365
pos_q9eqp6_p97468,0.9819597,0.06774913,0.40095595,0.19137646,0.99236864,0.89671,0.9852647
pos_p70236_p47811,0.97584945,0.97552097,0.9941764,0.9284338,0.9825387,0.9783967,0.9981262
pos_p35700_q61171,0.98233664,0.6960413,0.89267319999999994,0.56011015,0.91061145,0.86927164,0.70840347
pos_q03366_p51683,0.085403204,0.603938,0.88170254,0.46153057,0.9967167,0.96559614,0.99883956
pos_o09110_p47811,0.951729,0.9756452,0.98575646,0.95756286,0.9766466,0.9588405,0.9969343
pos_p11032_p33434,0.89713156,0.16017851,0.8072734,0.79983026,0.76710665,0.89662915,0.4221787
pos_p48036_p14824,0.8314404,0.8401974,0.195776,0.3596951,0.8151422,0.25861818,0.6439243
pos_a0a2r8vhr8_q8bjw6,1.2593044e-5,0.028775577,6.1185914e-5,6.063363e-4,1.2720244e-4,0.091357395,5.8789497e-6
pos_o35082_o54907,0.28765395,0.35152307,0.00269658,0.51566774,0.1407934,0.15452091,0.3054941
pos_p97474_q9wub3,0.026102636,0.002651677,0.017312413,0.051046725,0.0011972619,0.05963782,0.008275315
pos_p68369_p63028,0.682596,0.004599698,0.033832867,0.040106583,0.14143358,0.07434335,0.0015069987
pos_p58771_q64727,0.008886344,0.09423622,0.027685052,0.054756127,8.237153e-4,0.21193582,0.03185774
pos_q9r0r4_o55143,1.1153157e-4,0.042033184,0.034429263,0.045741804,0.007210423,0.20462272,0.005676743
pos_q9cpz8_p00397,0.05382691,6.608495e-4,0.008012677,0.08300928,0.0016640399,0.21869591,0.11358772
pos_q08857_p04117,0.6323439,0.40421334,0.13052063,0.44792697,0.55124384,0.4047048,0.05165332
pos_q6wkz7_q00519,0.076922566,0.0065590832,0.05592712,0.03621834,0.09740769,0.3215564,0.24438395
pos_q61735_q9jhg7,0.13308658,0.21614216,0.30082488,0.05927609,0.34760374,0.22487289,0.008569602
pos_q8k394_p60761,0.014764571,0.024564648,0.20149505,0.025142157,0.09963705,0.13933711,0.0013731682
pos_p48757_q8veb1,0.002105534,0.108897045,0.0016920238,0.104942866,0.011097742,0.12199945,0.0014675879
pos_p18242_p60761,0.05632366,7.321771e-4,0.009708188,0.08786843,0.0050921375,0.21345867,0.0015566488
pos_p56393_p50136,0.09816524,3.4035565e-4,5.5520417e-4,0.008282292,0.0069617773,0.025523042,0.0702923
pos_q9dcj1_q9jln9,0.9786574,0.06652527,0.0036916407,0.50366104,0.9870882,0.90170455,0.9987054
pos_q91x46_q9qui0,0.9995048,0.4531183,0.1747092,0.74913657,0.99984276,0.9866686,0.9995165
pos_q91x46_p62746,0.9995473,0.32858595,0.16921352,0.8072263,0.99924433,0.9925379,0.99981743
pos_q9z0f4_q7tn58,0.82967347,0.6597715,0.38262403,0.73242533,0.9980603,0.84284973,0.9942154
pos_q6phn9_p58802,0.9523011,0.8293179,0.15616289,0.85715663,0.99564385,0.86706954,0.99744534
pos_p58681_q8vcw4,0.997615,0.543721,0.6307635,0.8769706,0.9991417,0.8564621,0.9997476
pos_q9jjx6_q9z1m0,0.9713777,0.57551694,0.9708127,0.22338186,0.9906517,0.92110384,0.9580759
pos_q60612_q99mk8,0.94306296,0.49086994,0.19318716,0.6092361,0.99389076,0.9014352,0.98941225
pos_q9jln9_q6qi06,0.9945193,0.28863326,0.015413013,0.18239518,0.9991943,0.8591065,0.997465
pos_q00977_p70689,0.9761145,0.6737679,0.9904897,0.8497763,0.91030073,0.84719133,0.9954725
pos_p11835_p43406,0.9952544,0.86742187,0.8367548,0.8665418,0.99982303,0.9879094,0.99944013
pos_q9jjn1_q99n32,0.782126,0.53441924,0.027730376,0.6992811,0.9968464,0.8971132,0.9857901
pos_q99pg6_q925d8,0.9948291,0.97302455,0.97513604,0.7229687,0.9999541,0.9498967,0.9998542
pos_q60631_p35235,0.9277182,0.94826454,0.98654294,0.9854394,0.99612087,0.99502015,0.99668366
pos_a0a0u1rpk5_q8bxn7,0.9809089,0.5073298,0.028141672,0.6683694,0.99752504,0.3543598,0.96872175
pos_g3uyl9_q3tbl6,0.979653,0.007835122,0.019589294,0.04196331,0.27655867,0.29269293,0.115024574
pos_p31938_q63844,0.9722054,0.9382994,0.9766248,0.8630318,0.9716632,0.9615264,0.9939645
pos_p50228_p35343,0.436785,0.082301386,0.80879927,0.30638498,0.94128126,0.9363294,0.9964903
pos_p29754_q8k394,0.49205235,0.19152644,0.58882046,0.38063776,0.5363223,0.54993504,0.48678532
pos_q99mk8_p60324,0.3870949,0.21648397,0.26653695,0.32542345,0.06756708,0.44514164,0.17013235
pos_q8k394_q9daa7,0.0919706,0.17665443,0.06774279,0.078739986,0.0061107106,0.16639008,0.0018193326
pos_q9r1e6_q8blg2,0.505372,0.15315714,0.07548099,0.37669587,0.35164717,0.36618868,0.4579438
pos_a0a2r8vhr8_q9jhi8,1.0471788e-4,0.012600204,0.0011815306,7.327425e-4,0.003928729,0.04675211,1.7812647e-5
pos_q60612_p60761,0.2344261,0.026278624,0.033338446,0.007446903,0.5866207,0.21902192,0.08346753
pos_p61364_q62351,0.0076875235,0.2944752,0.0031299356,0.04177369,0.003143353,0.052426435,0.0023895781
pos_q8r0i0_p0dp26,0.11077321,0.018144159,0.056500338,0.23721665,0.22361426,0.17939661,0.04338992
pos_p31750_p61014,0.13421667,0.07672174,0.051751427,0.18969402,0.02572258,0.23860773,0.021004004
pos_q60680_o88245,0.050727256,0.043464188,0.7897407,0.46881658,0.07817738,0.5521156,0.351099
pos_q9wv60_p42337,0.7263926,0.370574,0.45108104,0.5335805,0.7490465,0.78639996,0.13128825
pos_p06880_o35082,0.094784714,0.053015936,0.0021286064,0.06307839,0.007562267,0.045125715,0.081697926
pos_q99pr8_p00397,0.10372074,0.076345555,0.037169803,0.054052927,0.4278883,0.420137,0.49849856
pos_q07813_o08529,0.2988146,0.27070174,0.010467653,0.31252852,0.15614668,0.15212387,0.3030088
pos_p55772_p03930,0.082735874,0.0883201,0.10732815,0.13100587,0.019004203,0.12981166,0.45890847
pos_q99mk8_q9qui0,0.36735812,0.88416547,0.124906845,0.9106142,0.7785321,0.70525867,0.73007774
pos_o70145_q00519,0.05844681,0.11745166,0.3566577,0.350352,0.04968613,0.55409753,0.04203856
pos_p70170_o55242,0.17350847,0.8855749,0.2768654,0.5829305,0.31639996,0.058881376,0.110305615
pos_q64441_q9z0l6,0.031846046,0.092643775,0.0056464314,0.07205545,0.0015311905,0.0715719,4.500437e-4
pos_q9qy05_q61024,0.02032068,0.016953858,0.0014636514,0.009106427,0.02668636,0.11881606,0.31442976
pos_p07356_o70404,0.03804681,0.32703626,0.094024576,0.21353474,0.3468704,0.17252311,0.018123236
pos_a0a5f8mpw1_p40753,0.088532135,0.055316295,0.0034685556,0.2589402,0.00135625,0.029029245,0.001005061
pos_q9wtx6_p29595,0.07271505,0.040328152,0.04931322,0.52190536,0.4615005,0.24726921,0.19703107
pos_p16330_p61014,0.06501615,0.06697482,0.0020675028,0.011175291,0.0071613886,0.04289451,1.1481091e-4
pos_p26883_e9pzq0,0.74482495,0.10642891,0.06750167,0.20186469,0.986516,0.8928487,0.87982345
pos_q02248_q9jjn6,0.99837446,0.026115706,7.5637555e-4,0.063732445,0.82042545,0.7690803,0.9918384
pos_q08048_p16056,0.9789473,0.97172415,0.8597141,0.9448468,0.99871576,0.98318636,0.9955777
pos_p27641_p23475,0.99848145,0.54581857,0.8178131,0.29041535,0.999292,0.9740666,0.9965113
pos_q99mb1_q8vcw4,0.9971343,0.72499245,0.8130177,0.4368026,0.9997873,0.87056303,0.9981481
pos_p63073_q80vv3,0.9998975,0.03618164,0.0875555,0.21236233,0.9955317,0.85440475,0.9014381
pos_p70389_p47878,0.95745456,0.7261614,0.33354163,0.09685825,0.98623604,0.864947,0.8968121
