pair_id	chain_ptm_a	chain_ptm_b	min_pae_ab	ptm	iptm
pos_q8ve70_q99kh8	0.81	0.62	1.14	0.46	0.81
pos_q8ve70_q9z2w1	0.8	0.62	1.44	0.46	0.81
pos_q9wv60_p10637	0.83	0.14	1.12	0.43	0.81
pos_q08048_p16056	0.68	0.62	1.79	0.71	0.81
pos_p97305_o88890	0.3	0.78	1.52	0.31	0.81
pos_q8byr2_q3udm0	0.41	0.78	1.86	0.45	0.81
pos_p06869_p35456	0.57	0.75	1.22	0.55	0.8
pos_q9ers7_q9d6z6	0.5	0.77	1.42	0.63	0.8
pos_q9cqv6_q64337	0.8	0.27	1.5	0.31	0.8
pos_o89084_p05132	0.47	0.85	2.11	0.41	0.8
pos_p30285_p46414	0.83	0.29	1.12	0.65	0.8
pos_q01705_p31266	0.28	0.74	1.43	0.39	0.8
pos_q3tta7_p68037	0.39	0.85	3.16	0.38	0.8
pos_q3tta7_p68037	0.39	0.85	3.12	0.38	0.8
pos_q91y86_q8btr5	0.72	0.87	2.42	0.75	0.8
pos_p47811_q60929	0.88	0.24	2.27	0.47	0.79
pos_p83940_p40338	0.71	0.75	1	0.77	0.79
pos_p97481_p40338	0.42	0.75	1.33	0.38	0.79
pos_q9cqd1_p59729	0.7	0.37	1.18	0.45	0.79
pos_q8bpm0_q9qui0	0.43	0.8	2.44	0.49	0.79
pos_p06880_p16882	0.71	0.38	1.11	0.5	0.79
pos_p41241_p05480	0.83	0.64	1.44	0.74	0.79
pos_q91vr7_q3ukc1	0.75	0.22	2.6	0.26	0.79
pos_p07321_p14753	0.72	0.48	1.19	0.57	0.79
pos_p31938_q99n57	0.79	0.46	1.54	0.59	0.79
pos_o09106_q60520	0.76	0.46	1.16	0.57	0.79
pos_q9jhb2_q9cq73	0.82	0.57	2.37	0.62	0.79
pos_q9r0t8_q9wun2	0.79	0.79	2.1	0.81	0.79
pos_p30280_p30285	0.81	0.82	1.16	0.82	0.79
pos_p70380_q61098	0.76	0.51	1.13	0.64	0.79
pos_p10168_p16872	0.7	0.46	1.16	0.54	0.78
pos_p47811_o08605	0.85	0.64	2.29	0.52	0.78
pos_q91y86_q9wvi9	0.79	0.34	2.92	0.41	0.78
pos_q9cz13_q9cr68	0.84	0.5	1.49	0.73	0.78
pos_p70380_q61098	0.75	0.52	1.1	0.63	0.78
pos_q61056_q61143	0.77	0.72	2.26	0.76	0.78
pos_p35569_o35718	0.28	0.71	1.78	0.27	0.78
pos_q62351_q921i1	0.79	0.82	2.5	0.78	0.78
pos_q6phn9_p58802	0.8	0.68	1.98	0.72	0.78
pos_p61164_p40124	0.84	0.42	2.99	0.59	0.78
pos_q8vii8_p63280	0.34	0.87	3.82	0.32	0.78
pos_q8ve70_q99jt2	0.81	0.65	1.32	0.49	0.78
pos_p31750_p35569	0.75	0.3	2.15	0.45	0.78
pos_q62192_o88188	0.82	0.73	1.71	0.82	0.78
pos_p28028_p31938	0.44	0.78	1.88	0.56	0.78
pos_p31266_o35516	0.73	0.3	1.86	0.39	0.78
pos_o54890_p43406	0.72	0.75	1.31	0.78	0.78
pos_p60766_o88643	0.8	0.55	2.44	0.46	0.77
pos_q9cr41_q80um3	0.49	0.85	1.32	0.84	0.77
pos_q9dcw4_q921g7	0.76	0.85	2.32	0.84	0.77
pos_o35350_o88456	0.8	0.65	1.08	0.76	0.77
pos_q80ss6_p63094	0.78	0.6	1.45	0.7	0.77
pos_q80ss6_p63094	0.78	0.59	1.44	0.7	0.77
pos_q9z1p5_p14847	0.22	0.88	1.73	0.55	0.77
pos_o35350_o88456	0.8	0.64	1.08	0.76	0.77
pos_p13609_p10639	0.19	0.89	1.68	0.49	0.77
pos_p28293_p97430	0.82	0.65	1.3	0.77	0.77
pos_p70380_q9z0m9	0.76	0.55	0.9	0.68	0.77
pos_p07901_p11499	0.77	0.77	1.32	0.79	0.77
pos_p27641_p23475	0.62	0.71	1.22	0.71	0.77
pos_q9jjy9_q80xz4	0.73	0.41	1.17	0.5	0.77
pos_p01573_o35664	0.76	0.43	1.66	0.53	0.77
pos_p19123_p48787	0.66	0.44	2.5	0.62	0.77
pos_q61409_p05132	0.42	0.84	2.51	0.38	0.77
pos_q99pv0_q6p4t2	0.61	0.75	1.58	0.63	0.77
pos_a2cg49_p63001	0.35	0.8	5.07	0.38	0.77
pos_o88566_q9wv60	0.26	0.79	1.71	0.43	0.77
pos_p58681_q8vcw4	0.72	0.77	1.69	0.72	0.77
pos_p58682_q8vcw4	0.71	0.76	1.64	0.69	0.77
pos_q8qzs3_q68fd7	0.67	0.52	1.29	0.62	0.77
pos_q9qui0_p70336	0.77	0.37	2.95	0.35	0.77
pos_p81122_p47811	0.29	0.88	3	0.39	0.77
pos_p97305_p17742	0.29	0.93	4.39	0.29	0.77
pos_p01027_p04186	0.71	0.77	2.32	0.74	0.77
pos_p19123_p48787	0.43	0.67	2.25	0.61	0.77
pos_p15655_p35918	0.73	0.34	3.26	0.38	0.76
pos_q9jkf1_p63001	0.41	0.8	3.63	0.45	0.76
pos_q60860_a2rst1	0.78	0.78	1.51	0.8	0.76
pos_p62962_p70460	0.89	0.35	3.73	0.37	0.76
pos_p63073_q80vv3	0.79	0.39	0.98	0.71	0.76
pos_b0lae7_q60795	0.01	0.36	4.87	0.37	0.76
pos_p18760_p53668	0.81	0.56	2.31	0.6	0.76
pos_q9d1n2_p11152	0.44	0.86	1.19	0.76	0.76
pos_q91vr7_p97432	0.78	0.23	3.76	0.24	0.76
pos_p25322_q64261	0.79	0.8	1.13	0.77	0.76
pos_p59017_q91vr7	0.46	0.84	3.34	0.39	0.76
pos_q61056_q9qzc1	0.75	0.72	2.31	0.76	0.76
pos_q99mb1_q8vcw4	0.71	0.76	1.87	0.71	0.76
pos_q9equ3_q8vcw4	0.73	0.76	1.57	0.74	0.76
pos_q9r194_o54943	0.79	0.36	1.26	0.44	0.76
pos_q9jln9_q8k4q0	0.57	0.73	1.76	0.66	0.76
pos_p70677_p97864	0.77	0.71	1.09	0.75	0.76
pos_p31695_p31266	0.29	0.72	1.95	0.41	0.76
pos_o35625_e9qaq5	0.26	0.78	1.86	0.43	0.76
pos_q01815_q5rjf7	0.64	0.77	1.87	0.7	0.75
pos_q61056_q9wvc5	0.75	0.75	2.29	0.77	0.75
pos_q8cit0_p35347	0.24	0.74	1.46	0.64	0.75
pos_q9qzc1_q9quq5	0.72	0.68	1.65	0.73	0.75
pos_q9wu40_q8bun5	0.31	0.67	1.51	0.43	0.75
pos_p70375_p20352	0.77	0.65	1.23	0.75	0.75
pos_q5drq8_q9jhb2	0.52	0.85	2.85	0.65	0.75
pos_p16951_q91y86	0.19	0.81	1.9	0.49	0.75
pos_p60766_q8cin4	0.79	0.57	2.82	0.46	0.75
pos_q9dbb1_p63085	0.54	0.87	2.34	0.77	0.75
pos_q9z2v6_p05132	0.42	0.86	3.15	0.37	0.75
pos_p34152_p63001	0.57	0.8	3.15	0.54	0.75
pos_p70389_p47878	0.84	0.31	2.02	0.71	0.75
pos_o88643_p63001	0.56	0.8	2.46	0.47	0.75
pos_p41245_p12032	0.5	0.76	1.69	0.58	0.75
pos_q8bfv3_q63844	0.59	0.83	2.13	0.77	0.75
pos_o55003_q91vr7	0.19	0.84	1.56	0.46	0.75
pos_o70145_p63001	0.41	0.8	2.51	0.51	0.75
pos_p22777_p29788	0.81	0.54	1.36	0.52	0.75
pos_p25322_p30285	0.78	0.84	1.15	0.78	0.75
pos_p47873_q64385	0.71	0.58	1.4	0.64	0.75
pos_p48346_p16297	0.69	0.44	0.91	0.52	0.75
pos_q61221_p40338	0.42	0.73	1.9	0.38	0.75
pos_q8qzs3_q80td3	0.65	0.52	1.26	0.62	0.75
pos_q91wd5_q9dc70	0.78	0.63	1.58	0.76	0.75
pos_q9epc2_o35082	0.55	0.83	2.05	0.79	0.75
pos_q9qui0_p70335	0.77	0.36	4.32	0.34	0.75
pos_b7zwm4_q9d311	0.73	0.73	2.91	0.74	0.75
pos_p97784_o54943	0.76	0.34	1.23	0.43	0.75
pos_o54890_q9qum0	0.69	0.73	1.39	0.75	0.75
pos_q60612_q6r0h7	0.82	0.34	2.28	0.47	0.75
pos_p04202_p04202	0.72	0.72	1.67	0.74	0.74
pos_p04351_p01590	0.73	0.54	1.01	0.65	0.74
pos_q60748_q99ml8	0.74	0.33	1.32	0.69	0.74
pos_q8cin4_p63001	0.58	0.78	2.59	0.47	0.74
pos_b2rsh2_q9cpv9	0.58	0.76	1.58	0.69	0.74
pos_p08752_q9cpv9	0.57	0.76	1.53	0.68	0.74
pos_q3udn3_q07813	0.38	0.72	1.6	0.53	0.74
pos_q9jjx6_q9z1m0	0.73	0.66	2.51	0.72	0.74
pos_p63094_p30987	0.59	0.8	2.04	0.69	0.74
pos_p20109_o09030	0.68	0.65	1.04	0.68	0.74
pos_q3tbt3_q3tbt3	0.7	0.7	1.6	0.75	0.74
pos_o08738_o89110	0.77	0.47	2.13	0.59	0.74
pos_p33434_q9jhb3	0.75	0.73	1.88	0.7	0.74
pos_p27005_p31725	0.67	0.57	1.85	0.69	0.74
pos_p05132_p11416	0.83	0.62	2.07	0.7	0.74
pos_p0dp27_q9jjv9	0.49	0.68	3.51	0.66	0.74
pos_p33434_p12032	0.77	0.75	2.21	0.73	0.74
pos_q9esg4_q9d687	0.51	0.86	2.22	0.79	0.74
pos_p55095_q61606	0.23	0.74	1.65	0.64	0.74
pos_q61458_q03147	0.81	0.81	1.72	0.78	0.74
pos_q9qxh4_p11835	0.72	0.69	1.47	0.75	0.74
pos_q9qzc1_q61143	0.74	0.73	2.08	0.75	0.74
pos_p97378_p43431	0.54	0.67	1.45	0.56	0.74
pos_o08529_p51125	0.79	0.18	3.99	0.51	0.74
pos_q99ld8_q9bcz4	0.9	0.25	2.02	0.63	0.74
pos_b2rsh2_q9cpv9	0.59	0.76	1.56	0.69	0.74
pos_p10639_a0a0m3heq0	0.85	0.88	4.9	0.85	0.74
pos_p35347_p81615	0.74	0.28	1.31	0.68	0.73
pos_q60748_p81615	0.73	0.29	1.4	0.67	0.73
pos_q8cgn5_p05132	0.18	0.87	3.14	0.49	0.73
pos_q05922_p47811	0.65	0.86	2.59	0.82	0.73
pos_q91yi4_q9es90	0.72	0.81	2.03	0.74	0.73
pos_p10852_q9wtr6	0.78	0.77	2.07	0.69	0.73
pos_q62227_p37238	0.74	0.55	2.12	0.63	0.73
pos_q9wud1_p61089	0.56	0.82	2.5	0.54	0.73
pos_p54130_q61851	0.68	0.45	1.36	0.48	0.73
pos_p28028_p32883	0.4	0.77	2.9	0.36	0.73
pos_q08369_q8bkj9	0.17	0.76	1.78	0.46	0.73
pos_q61188_q80u70	0.66	0.47	1.17	0.55	0.73
pos_q9r244_q9qzc1	0.58	0.72	1.52	0.68	0.73
pos_p97305_q9z2i2	0.29	0.89	4.7	0.28	0.73
pos_q91y86_a2a7a1	0.79	0.25	2.63	0.43	0.73
pos_p18760_o54785	0.8	0.55	2.91	0.59	0.73
pos_q6pe70_p43406	0.66	0.71	1.4	0.73	0.73
pos_q9z329_q8bny6	0.67	0.67	6.41	0.65	0.73
pos_p06800_p06240	0.58	0.78	2.26	0.64	0.73
pos_q3u4c5_q6r0h7	0.81	0.35	3.09	0.46	0.73
pos_p04351_p37238	0.72	0.56	1.59	0.61	0.72
pos_p33435_p12032	0.64	0.78	1.99	0.65	0.72
pos_p97481_q8blr9	0.41	0.86	3.41	0.38	0.72
pos_q00560_p09056	0.55	0.76	3.97	0.58	0.72
pos_q60748_q924a4	0.73	0.26	1.44	0.64	0.72
pos_q9qy06_q9qui0	0.53	0.76	5.84	0.53	0.72
pos_q9z2f7_q9dcd6	0.17	0.9	1.8	0.44	0.72
pos_p97288_p63094	0.73	0.58	1.58	0.68	0.72
pos_q64261_p51945	0.81	0.81	2.68	0.77	0.72
pos_q99k99_q8ve70	0.15	0.71	1.09	0.41	0.72
pos_q01815_p0dp28	0.63	0.45	4.69	0.63	0.72
pos_o08738_q8c3q9	0.77	0.52	2.42	0.61	0.72
pos_p20109_p16382	0.67	0.35	2.63	0.4	0.72
pos_q9qzc1_q9wvc5	0.73	0.76	2.42	0.75	0.72
pos_p16043_p32082	0.39	0.74	1.85	0.71	0.72
pos_q60612_q99mk8	0.8	0.83	3.78	0.72	0.72
pos_p33434_p25785	0.76	0.74	2.38	0.71	0.72
pos_p42225_q9wvl2	0.77	0.62	1.99	0.7	0.72
pos_p54130_p21803	0.66	0.45	1.45	0.5	0.72
pos_p63168_q9z0j4	0.8	0.59	3.4	0.57	0.72
pos_p97429_p14824	0.89	0.86	4.97	0.77	0.72
pos_q62227_q60641	0.73	0.55	2.97	0.63	0.72
pos_q01815_p0dp26	0.63	0.45	4.69	0.63	0.72
pos_q9r1w5_q99ja0	0.73	0.28	1.32	0.67	0.72
pos_p70170_q61743	0.8	0.66	2.28	0.79	0.71
pos_q00977_p70689	0.74	0.68	3.38	0.72	0.71
pos_q62120_o35716	0.74	0.62	2.1	0.69	0.71
pos_q8bgs2_q9cqm9	0.8	0.44	4.7	0.5	0.71
pos_q8blr9_p60954	0.88	0.35	5.38	0.49	0.71
pos_a0a1y7vp50_p05017	0.88	0.35	4.75	0.74	0.71
pos_q3upi1_p35700	0.63	0.83	3.79	0.65	0.71
pos_q64261_p51945	0.81	0.8	2.68	0.77	0.71
pos_q9eqp6_p97468	0.75	0.71	2.75	0.73	0.71
pos_q01815_p0dp27	0.63	0.44	4.77	0.63	0.71
pos_p70677_o89110	0.72	0.51	1.68	0.6	0.71
pos_p70206_o08665	0.49	0.76	2.38	0.56	0.71
pos_p70372_q8bgw1	0.33	0.85	2.26	0.67	0.71
pos_p70671_p13516	0.54	0.81	3.01	0.66	0.71
pos_p05017_p47879	0.38	0.66	0.93	0.61	0.71
pos_p09535_p47879	0.34	0.65	0.95	0.58	0.71
pos_p32648_p41588	0.22	0.7	1.89	0.61	0.71
pos_p36363_p21803	0.66	0.43	1.45	0.48	0.71
pos_p97333_o08665	0.54	0.76	2.09	0.65	0.71
pos_p05555_p11835	0.67	0.66	1.48	0.71	0.71
pos_p54130_p16092	0.66	0.46	1.51	0.49	0.71
pos_q9jln9_q6qi06	0.64	0.69	1.74	0.72	0.71
pos_q9z2f7_q91vr7	0.17	0.85	1.77	0.42	0.71
pos_q02257_q924a0	0.7	0.21	1.01	0.55	0.71
pos_p29754_q8vii8	0.78	0.35	2.94	0.47	0.71
pos_q6xp49_q99k82	0.21	0.82	2.4	0.49	0.71
pos_p11835_p43406	0.65	0.7	1.44	0.72	0.71
pos_o08785_p97784	0.36	0.77	2.87	0.54	0.7
pos_p52332_o35718	0.74	0.57	2.36	0.69	0.7
pos_p53690_p25785	0.42	0.73	3.41	0.53	0.7
pos_q01705_q91zw2	0.29	0.82	6.51	0.33	0.7
pos_q9jhh5_o88410	0.58	0.74	1.87	0.73	0.7
pos_p19788_q9qyc7	0.31	0.81	1.51	0.77	0.7
pos_q8ciz9_q61462	0.64	0.61	1.7	0.67	0.7
pos_q9dbl9_q91ww7	0.8	0.63	2.54	0.7	0.7
pos_p47931_o08689	0.66	0.39	2.19	0.56	0.7
pos_o89093_o54689	0.6	0.78	1.34	0.77	0.7
pos_o89093_o54689	0.6	0.78	1.35	0.77	0.7
pos_p32648_p97751	0.23	0.7	1.65	0.61	0.7
pos_p35569_p47811	0.29	0.88	4.48	0.37	0.7
pos_p39429_p10639	0.35	0.86	4.07	0.32	0.7
pos_q99mk8_p23804	0.82	0.23	4.34	0.6	0.7
pos_p30882_p51682	0.61	0.79	1.6	0.78	0.7
pos_p31750_q9wvh4	0.74	0.22	1.76	0.44	0.7
pos_a2aq92_q8ve49	0.77	0.72	3.38	0.77	0.7
pos_q8blr9_p97481	0.86	0.42	6.88	0.38	0.7
pos_q5eg47_q9r078	0.7	0.52	1.12	0.7	0.7
pos_q9wu40_q9jiw5	0.3	0.65	1.84	0.42	0.7
pos_q3uh93_p70275	0.44	0.76	2.84	0.54	0.69
pos_q3uh93_q8bh34	0.45	0.73	2.35	0.54	0.69
pos_q61337_p05132	0.17	0.89	3.07	0.65	0.69
pos_q80ug2_q62181	0.45	0.76	2.58	0.54	0.69
pos_q9eqc7_q9z1w4	0.65	0.38	2.25	0.52	0.69
pos_q672j9_q61462	0.68	0.61	1.63	0.7	0.69
pos_q01237_q91wg1	0.5	0.69	3.97	0.43	0.69
pos_q8bgi3_q6gqt6	0.61	0.36	2.03	0.43	0.69
pos_p10889_p35343	0.55	0.78	2.11	0.77	0.69
pos_q8bg51_q6pd31	0.79	0.2	2.14	0.46	0.69
pos_q8cjh3_o09126	0.46	0.69	1.73	0.55	0.69
pos_q99ml1_p10417	0.27	0.66	0.9	0.53	0.69
pos_q9qyb2_q8r104	0.22	0.75	2.62	0.35	0.69
pos_q9wtk7_q3uuj4	0.68	0.71	1.48	0.71	0.69
pos_o54786_o54788	0.46	0.67	1.48	0.62	0.69
pos_p41272_o55237	0.43	0.68	0.95	0.58	0.69
pos_q61093_q05144	0.74	0.81	3.38	0.69	0.69
pos_q91vr7_q8k3k8	0.79	0.26	2.35	0.26	0.69
pos_p08505_p22272	0.66	0.58	1.28	0.63	0.69
pos_p16054_p63001	0.51	0.79	4.66	0.44	0.69
pos_p31750_q9r1e0	0.75	0.21	1.75	0.44	0.69
pos_q9jjn1_q99n32	0.52	0.8	2.4	0.72	0.69
pos_q99pg6_q925d8	0.72	0.68	1.52	0.72	0.69
pos_q02248_q924a0	0.68	0.22	0.96	0.55	0.69
pos_q9wua6_q9wvh4	0.75	0.21	2.01	0.43	0.69
pos_p11798_o88895	0.55	0.84	3.47	0.58	0.69
pos_q9wvl0_q3ufd7	0.89	0.79	4.29	0.76	0.69
pos_p70380_q9z2b1	0.75	0.41	3.08	0.48	0.69
pos_q8vii8_p29754	0.35	0.77	3.63	0.47	0.69
pos_q6r0h7_q9cpv9	0.35	0.77	2.92	0.46	0.69
pos_q8ve70_q99k99	0.67	0.14	0.94	0.39	0.69
pos_p10148_p30882	0.48	0.66	1.08	0.56	0.68
pos_p17679_q93092	0.19	0.89	3.42	0.52	0.68
pos_p70170_p97794	0.8	0.61	2.23	0.78	0.68
pos_q9jjt2_o70300	0.74	0.5	2.57	0.66	0.68
pos_p22777_p11214	0.82	0.61	2.34	0.67	0.68
pos_p40753_p70180	0.26	0.74	1.43	0.66	0.68
pos_q60612_p63094	0.81	0.59	2.53	0.69	0.68
pos_q6dr98_p30557	0.24	0.74	2.62	0.44	0.68
pos_o70460_p47774	0.58	0.69	1.44	0.68	0.68
pos_p09581_q8r1r4	0.4	0.66	2.43	0.47	0.68
pos_p15655_q9qxv9	0.8	0.28	2.31	0.41	0.68
pos_q9jjz8_e1az71	0.63	0.38	1.87	0.5	0.68
pos_p40694_p63321	0.62	0.72	3.51	0.58	0.68
pos_p52793_q03145	0.61	0.41	1.76	0.47	0.68
pos_p18572_p53986	0.49	0.74	2.1	0.61	0.68
pos_o35718_q9r117	0.55	0.69	2.54	0.64	0.68
pos_o35718_q9r117	0.55	0.69	2.59	0.64	0.68
pos_q9jjn1_p16092	0.59	0.45	1.54	0.51	0.68
pos_d3yvf0_p05132	0.36	0.87	3.11	0.4	0.68
pos_o55038_q04683	0.53	0.75	2.06	0.71	0.68
pos_p11214_p22777	0.59	0.82	2.33	0.66	0.68
pos_p34152_q9qui0	0.6	0.79	4.15	0.58	0.68
pos_p40224_p70658	0.55	0.76	2.01	0.75	0.68
pos_p56485_p40224	0.79	0.52	2.1	0.77	0.68
pos_q6s5j6_p62835	0.58	0.79	4.62	0.6	0.68
pos_q91y86_p12025	0.84	0.37	2.34	0.76	0.68
pos_q9quq5_q9qx29	0.69	0.7	1.97	0.71	0.68
pos_q7ts72_p48455	0.42	0.76	1.96	0.43	0.68
pos_p35374_q9z0f1	0.75	0.35	3.18	0.46	0.68
pos_o88879_p70677	0.74	0.7	4.35	0.71	0.68
pos_q61839_p70180	0.15	0.74	1.39	0.65	0.68
pos_q9epq8_o08899	0.25	0.62	2.69	0.27	0.68
