file,VDWAALS,ESURF,TOTAL
P10148-P51683,-259.3659,-42.1205,-194.3372
P26450-O08586,-197.2848,-32.8884,10.7076
P35951-Q80W65,-215.0269,-28.747,-68.2229
P08505-P06804,0,0,0
Q08369-P42582,-69.6969,-12.5621,-13.5727
Q9Z0J4-P13609,-249.4983,-40.9261,-85.4083
Q5EG47-Q9BCZ4,0,0,0
O70176-Q62296,-133.5424,-21.0345,-9.1064
Q8K1M6-Q6PCP5,-143.0687,-21.0816,-59.4687
Q8R0I0-Q9JIQ8,-316.5969,-46.0331,-41.6733
Q61527-Q6DR98,-237.4727,-39.693600000000004,-81.7922
P29754-P35374,-166.2242,-24.6388,-31.3202
Q64373-O88597,-65.3024,-10.5544,-19.9267
O88351-Q9EST8,-185.8124,-27.5301,47.7074
P34152-P05480,-202.2981,-32.0394,17.942
Q60994-Q91VH1,-56.4677,-8.7618,-22.334
P61014-P05132,-89.5275,-16.318,-116.8038
Q02248-Q924A0,-372.5219,-61.6393,-242.8186
P60324-Q923E4,-103.8733,-15.6567,-31.4543
P35969-Q00731,-103.0041,-18.6176,-81.7387
P08505-P22272,-60.0284,-11.376,-59.1983
P29452-Q9D8T2,-120.5759,-17.6832,-79.5117
Q91Y86-Q6NS57,-252.0886,-38.912,-39.198
P06804-P25119,-81.1517,-11.3205,-42.8644
P70424-Q61527,-638.9438,-98.1756,-218.4829
P42582-P70326,-185.7838,-29.792,-24.0734
P51437-P05132,-121.343,-18.9378,-53.4808
Q9JI71-Q01705,-687.0685,-106.7723,-217.2268
P29754-P04202,-124.9999,-18.1475,-6.9675
Q5EG47-O70405,-270.0126,-43.2875,1.2844
Q5EG47-P26262,-105.3768,-15.8673,9.8352
Q62432-Q8BUN5,-591.6783,-81.4145,-382.0311
P08505-Q00560,-117.469,-14.6909,-79.7057
O35253-P04202,-102.2507,-15.9823,5.7933
P63158-Q9QUK6,-121.0768,-20.9805,39.3017
P23804-P02340,-256.7015,-41.8931,-88.9189
P63158-Q9WVS4,-79.7584,-15.3282,-12.467
Q8CI19-P26618,-132.0222,-22.83,5.8733
Q9EST8-Q8R4B8,-258.5631,-40.4609,96.4227
Q811U4-Q80U63,-160.3222,-24.509,-31.7143
Q8K1M6-Q9CQ92,-56.0079,-10.4393,28.0172
Q9EPC2-O35082,-272.143,-39.1162,-157.5618
P21237-P15209,-93.1912,-14.397,-9.067
Q62073-P70196,-282.1871,-43.0145,-59.0296
Q61093-Q09014,-34.3529,-6.0454,-10.1695
Q62120-P42228,-260.108,-40.2603,-44.2095
P07901-P60324,-192.7936,-33.4782,-99.7681
P41160-P48356,-92.2055,-14.2641,-63.7302
Q923E4-P02340,-332.1561,-48.3336,-24.7859
P54763-P12025,-95.5725,-18.1221,6.5993
Q8R4B8-Q8BG60,0,0,0
P70424-Q6DR98,-199.3946,-30.7109,-28.9165
E9PXX8-Q5EG47,-531.4662,-89.07,0.3781
P47811-Q9EST8,-271.3584,-43.1583,-95.3429
Q8CG03-P0C605,-110.7595,-20.8165,19.4646
P35918-P97953,-453.0347,-68.0975,-94.9809
P10749-P08505,-66.3389,-11.534,0.9325
Q9JLN9-Q8BSK8,-458.3394,-78.1689,-85.2178
Q9WVH4-Q923E4,-304.8392,-46.5202,-100.9684
P35569-P26450,-617.9854,-100.8062,-63.4325
Q8VIM5-Q9JM73,-161.8988,-25.5686,-85.8005
Q62406-P22366,-25.1455,-6.2656,-3.344
P97471-P04202,-196.8059,-40.2092,112.7298
P19221-P30558,-259.26,-41.0846,-149.3485
P14719-Q8BVZ5,-288.099,-46.9421,-170.4898
P10749-P06804,-38.1012,-6.4169,-1.1725
Q00560-Q9EST8,-84.3197,-10.0149,46.3465
Q60994-Q5EG47,-51.6667,-7.205,-13.9205
Q9EST8-Q923E4,-198.5688,-30.7122,-48.7222
Q99N57-Q99P51,-276.9389,-44.0797,-79.4611
O35607-P70340,-205.4188,-37.6298,26.133
Q60994-Q8BQS5,-50.0347,-6.9833,-6.8466
O35607-P04202,-236.4363,-36.7467,-42.0676
P22366-Q9QUN7,-99.3265,-11.1351,-36.7739
Q08369-P70326,-116.1768,-16.5369,-46.3872
Q8R0I0-Q9Z0F8,0,0,0
Q9R1E0-Q923E4,0,0,0
P08414-P11798,-289.5712,-42.7089,66.1369
P22366-Q9EST8,-16.2475,-2.489,7.1853
Q6WKZ7-Q9ERL9,-70.2577,-10.6895,-8.1671
Q921P9-P02340,-65.9494,-12.0746,-19.5847
Q9ES74-Q8R4B8,-240.0386,-39.2002,43.7584
Q64438-Q02858,-82.1949,-13.5053,-3.5032
Q62406-P70196,-153.2303,-25.9677,-64.3721
Q01279-Q60631,0,0,0
P31938-Q99N57,-157.877,-22.6694,-36.8459
P22387-Q61614,-238.2818,-35.479,-169.9995
E9PX95-Q00623,-153.1051,-19.7135,-20.5149
Q8VCM7-Q9QUM0,-17.2892,-1.2783,13.7927
P31750-Q9WVH4,-254.0232,-43.3068,-170.7474
Q01705-P31266,0,0,0
Q9QXX0-Q01705,-570.6348,-88.8826,-29.0557
Q61221-Q00731,-96.5219,-19.6323,-16.2231
Q00560-P42227,-225.6386,-35.6153,0.8285
Q8BUN5-Q64729,-169.4441,-26.0317,-70.3936
P70671-Q9WUN2,-103.3552,-16.9356,-21.4402
Q8BWG9-P70302,-190.4036,-30.4223,-121.5586
Q63961-P04202,-197.3558,-24.9405,-45.3655
O08712-O35235,-54.89,-10.784,-81.2208
P34152-Q8VI36,0,0,0
Q5EG47-Q8BXK4,-236.5323,-36.5121,-84.9152
M0QW46-P29452,-5.4693,-0.261,9.304
Q7TS72-Q9BCZ4,0,0,0
Q99P51-Q62245,-97.6242,-16.4529,-20.4816
Q60855-Q9QZL0,-183.2159,-24.608,3.8089
P14847-P08505,-83.1449,-10.9261,-34.7282
P10810-Q9QUK6,-108.4908,-19.3834,16.577
P10417-P02340,-78.6556,-14.1333,-52.3537
O35305-O35235,-81.5259,-13.885,-67.4077
Q62432-Q64729,-165.8953,-25.8559,-68.1806
Q8C6L5-Q3TBT3,-35.4163,-6.061,2.4334
Q9WTL8-O08785,-612.4741,-87.1686,-343.3179
P70340-P97471,-123.4499,-18.8042,-93.4471
P23204-O70343,-397.9808,-68.1205,-239.1945
Q64729-Q62312,-206.3711,-32.17,-47.732
O35188-Q9Z0D9,-341.4028,-52.2374,-221.8055
Q9JHF9-Q9QUK6,-100.8987,-18.5169,-119.6502
P04441-P34884,-32.783,-4.6471,-12.8102
E9Q557-Q02257,0,0,0
Q60631-Q62245,0,0,0
Q9JI71-O35516,-605.9799,-90.3978,-164.088
Q8BXK4-O70405,-304.0836,-48.1497,-40.289
P54923-Q9BCZ4,0,0,0
Q9EST8-Q7TS72,-213.2754,-32.2367,-11.3289
Q61288-Q9WV56,-83.177,-12.6332,-44.4146
P15655-P16092,-341.3331,-50.6243,-134.1124
P31750-P54763,-95.2998,-15.8157,-16.1836
F6QYE1-E9Q401,0,0,0
P28843-Q1WG82,-233.153,-38.2696,-39.86
P15208-P35569,-664.0349,-100.2868,-122.3293
P31938-P63085,-178.7582,-29.7646,-89.3757
P60324-Q9CXL1,-72.6251,-12.7056,-16.1175
P29754-O70145,-145.8209,-24.765,-10.6449
A0A2R8VK70-P38647,-65.6739,-9.9523,1.2109
O88522-Q8R0S6,-34.9685,-8.8119,-22.7274
Q80UF7-P24063,-207.0735,-30.9981,19.6465
Q61221-P40338,-176.9338,-24.565,-90.5662
Q80U63-P58281,0,0,0
Q8R4B8-Q9Z1M0,-146.215,-25.9744,-12.8386
Q8CBY8-Q91VR7,-48.8758,-8.5013,-23.1255
Q8R4K2-P22366,-114.0983,-20.748,-86.8363
Q8BFP9-P26450,-206.1711,-31.3998,39.4955
Q9JLN9-O70405,0,0,0
Q9CQY1-Q99J83,-73.7945,-11.3557,-26.2719
P31750-Q9R1E0,-355.4156,-59.2945,-169.3944
Q61288-P04202,-191.7078,-28.9386,-18.5462
Q61288-Q63961,-172.5149,-23.675,24.0624
O35930-Q8CIZ8,0,0,0
P19221-P16056,-135.5704,-23.0013,21.2997
Q8BJW6-Q9Z2B5,-201.0002,-33.1754,27.8465
O08530-Q9Z0U9,-96.8668,-13.6098,35.342
P31750-P10417,-98.3328,-16.1799,9.3307
Q61735-P97797,-130.2691,-19.2001,-76.3993
P35456-Q80XD8,-123.8347,-19.3456,-55.5382
P29754-P30554,-113.2254,-18.479,-26.6179
O70343-Q91V17,-118.4351,-17.8214,-5.6466
Q6NS57-Q9EST8,-679.8447,-100.8221,299.796
Q9JKP8-O70145,-41.5326,-9.3402,-4.4117
Q8BGR3-Q9BCZ4,0,0,0
Q3UFT3-Q71FD5,-65.8074,-9.7764,-15.5328
Q9JHB2-P70460,-81.5559,-12.8991,-32.3131
Q9WUA6-Q5EG47,-73.3737,-13.9189,1.9496
P0C605-Q80UW5,-403.7542,-66.2558,27.7201
Q9D2Y4-Q9QZL0,-292.577,-46.2616,-63.9521
Q08369-Q8CFN5,-40.041,-8.7507,-43.2718
Q9R0R4-Q9WV08,-161.9499,-25.8529,-134.7409
O88597-Q6PF93,-73.9348,-11.2457,8.2192
Q9QUK6-Q80X56,-113.5199,-16.3268,10.3002
Q8BVZ5-Q3V009,-101.2702,-13.2627,-22.5917
Q62073-Q99K90,-471.461,-71.6357,-293.3422
Q91YI1-O70405,0,0,0
Q8K1M6-Q80U63,0,0,0
O35718-P42227,-235.6571,-33.4348,-82.7143
Q8BH93-Q8BW70,-91.6023,-12.101,-21.0497
Q9CS00-Q9WTI7,-170.894,-33.2563,-53.1758
Q9WUA6-Q8BXK4,-275.5674,-45.5618,43.6426
P00397-P98083,-375.8732,-55.1407,-50.0118
P38647-Q64727,-154.203,-23.1554,26.119
Q9EST8-Q9WVS4,-230.1528,-38.0764,-65.4594
O70145-Q5HZJ0,-154.3618,-27.3866,-80.6881
Q3U0D9-P29754,-167.0313,-26.45,-27.667
P70658-P34884,-43.2003,-8.2475,-18.4715
Q61115-Q62226,-89.0453,-17.0843,-73.3216
Q9Z0F8-P06804,-96.6579,-15.9579,-23.2555
Q07813-P02340,-151.8672,-21.1943,-2.2145
P01139-Q3UFB7,-202.5809,-30.5717,7.2413
P35918-P26450,0,0,0
P40753-P18293,-154.0986,-23.7167,-53.7633
Q9Z2B5-P20029,-199.7971,-26.8706,-45.5197
Q8CI19-P05622,-197.0951,-29.112,10.0704
P29268-P04202,-99.5975,-15.9791,13.4654
O35659-Q1WG82,-151.0804,-21.4645,-83.4675
O09161-E9Q9K5,-94.8348,-18.1828,-50.5213
P52800-P54761,-313.9058,-43.3138,-84.3336
P47811-P04202,-174.1164,-27.139,-7.1079
P60755-Q9CPV9,-116.3883,-18.8495,31.9949
P19123-P48787,-257.8783,-45.7669,-236.9746
P29452-P70380,-151.2573,-20.6908,3.2245
Q60612-Q3U034,-99.2149,-17.2704,2.892
Q6WKZ7-P0C605,-20.4295,-1.754,21.7608
O70176-Q02248,-176.7217,-29.9929,-15.4068
Q9EST8-Q71FD5,-144.6163,-22.5519,-14.3342
Q9EST8-P42227,-239.6435,-29.9792,-4.4967
Q8VHJ7-P28704,-321.8934,-49.9361,-184.9345
Q8BXK4-Q8BSK8,-139.8405,-24.4048,-0.2531
O70145-Q7TS72,-179.2025,-28.0024,-40.9609
P11798-O55143,-241.1829,-34.9217,119.425
P34152-Q61735,-130.9024,-22.1387,116.4243
P33434-P0C191,-139.2479,-20.9916,-46.6521
Q923E4-Q9WTK7,-155.6997,-24.6028,-4.0452
Q60795-Q923E4,-110.7849,-14.7065,-15.2824
Q08857-Q80W65,-112.6249,-15.7001,-3.391
Q9QUI0-P70335,-95.2999,-13.1967,-43.9008
Q61735-P11032,-119.9952,-17.3875,-67.6887
Q61288-O35607,-415.3804,-68.8634,-139.3738
P01101-P05627,-158.3117,-26.3488,-106.3345
P05125-P18293,-100.1736,-17.2615,-58.7608
Q62073-Q8CF89,-227.8298,-35.936,13.5096
P28028-P12025,-183.0145,-30.325,-6.893
P30051-P46938,-271.3361,-41.9637,-209.3631
Q09014-O70145,-391.3647,-70.0139,-127.6803
P52332-P42227,-259.7086,-39.2866,34.8486
Q62432-Q62312,-190.4832,-27.53,29.1294
O89026-Q9R1B9,-277.1473,-42.5982,87.5914
P23242-P39447,-807.9046,-126.1059,40.6931
P35428-Q01705,-69.2336,-12.55,-39.2102
Q01279-P05480,-222.0658,-35.8138,17.2392
O35607-Q9JIW5,-197.2359,-33.8522,-10.0434
Q8BUN5-O88393,-206.8869,-30.2413,-0.3186
Q9QXX0-O35516,-726.7868,-111.2253,-51.7454
Q3UU96-Q9JKD3,-4.3365,-0.2858,5.1569
Q99LD8-Q9BCZ4,0,0,0
P0C605-P82348,-24.2336,-5.4182,2.2392
Q8C0T9-P63094,-144.3613,-23.0615,51.2207
Q8BGR3-Q9DCB8,-36.2972,-5.0695,1.7143
Q60613-Q3U034,-58.3308,-8.3495,-21.2757
Q91YI4-Q99MK8,-88.3449,-11.3353,-7.6541
Q01815-Q8R071,-196.5392,-30.0889,-5.9886
Q9EST8-P70196,-31.3659,-4.5864,-13.7043
A2AJX4-Q80W65,-310.0789,-45.1046,-25.1361
Q80UF7-Q9CQ00,-34.5852,-5.149,-6.2156
Q922B6-Q99P51,-181.4653,-30.5869,-81.1691
Q61221-P02340,-143.4393,-22.356,-43.0104
P10749-P13504,-213.6855,-30.6622,-46.9463
P56485-P40224,-268.6628,-38.733,-190.5877
Q811U4-P58281,-154.3872,-29.3428,33.5926
P05017-P47878,-176.1912,-24.7754,-125.299
P60755-P49650,-153.7898,-25.8245,-15.2613
E9Q557-Q9CQ73,0,0,0
Q01279-P70424,-477.3518,-74.5525,-182.9925
Q8R104-P09671,-84.3328,-10.8247,-24.3951
P31750-P05017,-63.3081,-10.0599,-11.489
P07321-P14753,-91.4127,-14.9209,-32.7646
B2RWS6-Q08369,-706.8353,-110.9819,-7.1521
P27512-P70196,-51.6992,-10.224,-37.5091
Q9Z0J7-Q6SJE0,-114.6311,-14.7032,-25.3359
O35084-P48281,-78.1582,-11.7492,3.1968
P35918-P97333,-285.6675,-40.9867,12.5904
P60324-P05132,-96.2047,-12.5442,-50.9501
P53762-Q61221,-731.9264,-113.8609,-410.3875
Q9EQM6-Q5HZJ0,-173.791,-29.2039,-95.9584
P35343-P34884,-42.9213,-6.2817,-14.434
Q8BVZ5-P30875,-141.7237,-26.9359,-46.5453
Q9WV60-Q60795,-83.1739,-16.7425,-59.2037
Q8CBY8-Q9Z2X8,-79.3357,-11.1947,-20.3051
P30882-P51682,-261.0374,-36.1736,-165.1627
P18572-P17742,-79.7231,-9.5582,-18.7424
P31750-Q61337,-124.5642,-25.317,-106.425
Q01279-Q06186,-148.68,-22.4868,-70.7852
P49817-P60324,-72.8713,-13.3679,-61.1758
Q8BSY0-O09161,-35.9107,-12.2672,-20.0645
P11032-P04202,-55.1025,-8.3311,-16.5233
Q9DB70-Q91VR7,-64.2208,-13.053,-67.3154
O89110-Q61160,-62.3634,-11.0946,-24.4735
P23242-P05480,-57.6674,-9.0421,-3.5758
O70343-Q8VHJ7,-928.9303,-141.3907,99.2243
Q9ESL8-Q9CRA9,-41.2808,-5.3983,5.8779
Q9D5H4-Q5U4H9,-199.9559,-35.131100000000004,-124.0004
A0A0N4SVK8-Q9CPV9,-310.395,-48.404,296.7629
Q3TBL6-Q9JLL3,-59.7375,-9.2343,-6.5202
O08663-Q8VEN2,-67.9921,-9.6142,-50.0557
Q8VDJ3-Q61009,-181.0985,-33.9158,144.8277
P54923-Q6WKZ7,-136.4618,-20.7698,-75.292
Q62432-O88393,-176.4094,-26.3093,28.4325
Q5EG47-Q61037,-42.4747,-7.309,-12.366
P11798-Q9D5L7,-140.9928,-19.4147,-22.3259
Q3UHR2-Q8R071,-1165.2087,-183.1313,196.5743
P18762-Q9EPQ8,-861.8092,-150.6208,1005.332
Q8BLR9-Q9EST8,-204.0074,-30.2358,7.3554
O35516-O08674,-433.0504,-62.6902,-68.8863
Q8R0F6-Q91XD2,-185.6918,-26.5245,-29.2773
Q9EST8-Q5EG47,-237.0023,-36.9685,-23.4803
Q9R216-P22725,-225.4344,-33.5333,-83.3679
E9Q2E9-Q6NS57,-199.5159,-29.3994,85.2678
P49817-Q9BCZ4,0,0,0
Q9JHB2-Q9BCZ4,0,0,0
Q09014-Q7TS72,-272.3759,-39.594,-51.4595
Q9JHI8-Q61462,-179.1694,-24.2699,-82.5335
P0C605-Q61409,-519.7127,-83.3368,-109.8307
Q8CG19-P04202,-160.7494,-26.7394,-3.765
Q91YE3-Q61221,-326.262,-47.0751,-153.2289
Q9EPC2-Q03142,-200.7658,-27.6377,-61.9863
Q8BK64-P49138,-263.7893,-38.8274,-51.252
P12850-P35343,-263.693,-41.0481,-194.3273
Q9WVH4-Q8R104,-168.6528,-26.3605,-80.7663
P60324-P26450,-145.6148,-21.367,1.3079
Q3TBT3-Q9WUN2,-85.5417,-12.119,8.9931
Q62073-P47811,-182.3116,-26.2239,12.8311
Q62073-P04202,-84.1415,-10.8487,15.5686
P01132-Q01279,0,0,0
Q61288-Q9R229,-145.3051,-25.8114,-52.2067
P50462-O70548,-120.9352,-16.9173,-63.9002
Q9EQY0-O35426,-112.2138,-17.6486,12.738
Q62227-Q60641,-243.5371,-36.8898,-77.4636
Q9QUS4-Q01705,0,0,0
F6VAN0-P20029,-136.8383,-22.2709,-69.1884
P97434-Q62172,-412.5431,-69.8347,-197.1325
Q00993-Q61592,-121.865,-25.7141,-78.5262
Q3UMR5-Q8VCX5,-37.0382,-5.8152,-26.5544
Q9WUN2-Q80X56,-157.0169,-27.6304,-17.627
Q09014-Q8CIZ9,-29.225,-4.3871,4.693
P18893-P42227,-120.2186,-20.6497,-33.191
Q9JHI8-Q91VA6,-108.1337,-14.2933,-14.4318
Q9Z2F7-Q91VR7,-99.0806,-15.0254,-62.2528
Q9DBR7-P70335,-419.6422,-74.9563,-179.848
Q9ESK9-O70405,-561.3512,-84.649,-173.0435
Q9Z138-P22725,-210.4759,-30.8036,-60.0758
Q60751-P26450,-297.3553,-44.9273,81.1452
P20918-Q80XD8,-171.0922,-25.0513,-73.6347
Q00560-Q62120,-341.7362,-49.0153,-101.1848
P70380-Q8R4B8,-113.8771,-25.2,-26.337
P22366-P70196,-77.2477,-10.1362,-32.1704
Q60876-Q8BXK4,-104.6263,-17.864,-51.9532
P22387-P50284,-191.0706,-33.3943,-77.4138
Q01705-O35516,0,0,0
Q60994-Q9WTR5,-39.2302,-7.0087,-11.7471
P28704-P48281,-210.3681,-37.5813,-43.0101
Q64430-Q9JIQ8,-114.0455,-18.5203,0.489
O70343-Q71FD5,-75.0277,-12.2457,0.0583
P29754-Q8VII8,-314.9708,-51.273,-103.3589
Q61462-Q8BG99,-64.3338,-10.2885,-32.6903
Q9EST8-Q8VHJ7,-748.6648,-111.2718,217.925
P29754-Q9EST8,-162.963,-26.881,53.8408
Q8VI38-Q99MK8,-126.787,-18.9579,-10.0104
P35569-Q6NS57,-522.3264,-77.9962,111.7923
P19091-P15392,-93.875,-14.2415,20.1248
Q99M31-Q9QUK6,-88.604,-14.6944,-20.9129
P05017-Q9QY05,-32.1398,-6.1722,-7.025
Q3UHR2-Q01063,-1854.8307,-293.5529,263.863
P34971-O55192,-134.0489,-18.0112,-23.2516
P03930-Q9Z1M0,-57.831,-7.8198,-28.1283
Q91Y47-P04202,-87.8498,-12.5931,2.0299
P29754-P47811,-135.5202,-19.8247,4.7885
Q9WUA6-Q9WVH4,-184.8791,-33.3579,-125.6562
Q60614-Q3U034,-67.467,-11.4917,-21.2822
Q9WUA6-Q9EST8,-131.9122,-21.0066,-18.8429
P18762-Q99MK8,-334.2108,-51.9708,26.3128
P11798-Q6NZM9,-173.239,-27.4106,25.6537
Q02248-P27467,-83.7967,-12.804,44.0358
P11798-Q9JJV9,261.2189,-71.547,721.6196
O09118-Q8K1S3,-244.3833,-38.8677,44.7547
P29754-Q91YI4,-104.7876,-16.0458,-5.5553
Q52KF3-P58501,-199.4453,-32.0057,-43.0634
P0DPB4-Q99M31,-228.6389,-35.6261,-48.1854
P68369-Q9Z2V5,-252.0908,-38.6874,-50.4068
Q6NS57-P47811,-232.8836,-40.2086,-53.2736
Q14BA6-Q7TS72,-80.2747,-12.4754,-4.067
Q9JHI9-Q80T19,-136.3667,-19.382,-66.4399
Q8CIZ9-Q61462,-259.1771,-37.7577,-107.2563
P48302-P22387,-233.392,-35.6071,-155.5027
P60954-Q9ERL9,-82.9336,-12.3249,-29.2413
Q8R0S6-Q03141,-345.8718,-47.3969,-62.3296
P97305-P08414,-207.362,-30.6535,-35.9933
P33434-P25785,-108.798,-18.1181,-111.5466
P35918-P05480,-309.6464,-51.6925,-41.1595
P21274-P19788,-143.7355,-18.8945,-15.3047
Q61093-P63001,-69.8567,-8.4251,-23.423
Q9JLN9-Q8K4Q0,0,0,0
Q9JLN9-Q6QI06,0,0,0
P21274-Q08775,-126.7542,-18.5336,27.6836
O35253-Q64729,-152.3569,-23.4139,-69.6222
Q8K4J6-Q9JM73,-120.8869,-16.2436,-66.7429
O88351-O88522,-120.3353,-23.5213,-124.4117
P63158-Q9QUN7,-186.7126,-25.9561,40.8828
P47811-P06804,-117.4536,-23.8158,79.0196
Q9Z1P8-P11152,-102.5101,-15.4048,-19.6344
P41160-P42227,-79.769,-10.9976,-17.4106
P41233-Q00623,0,0,0
P04202-Q00731,0,0,0
Q9JHI8-P04202,-135.6824,-20.2574,-32.9479
Q9WU78-Q61187,-259.5232,-48.9081,83.9706
P07901-P42227,-177.6449,-25.2725,73.5994
P60324-Q00731,-83.94,-12.5073,-23.8816
P70671-Q80X56,-110.0651,-17.6602,-44.5152
Q9QUN7-Q9QUK6,-166.9595,-22.2095,-37.0927
P23927-P31001,-87.653,-11.8853,-37.2175
Q9EP53-Q61037,139.1472,-88.0222,845.9985
P70380-P10749,-129.0367,-19.5812,3.3001
P15379-P34884,-51.3184,-8.1788,-18.9287
Q62120-P42225,-284.1692,-47.784,-52.1555
O35607-P97454,-254.3868,-39.5954,8.0091
P31750-Q60795,-214.307,-43.1297,-144.2175
Q8K1M6-P58281,-52.021,-9.9016,8.9432
P04202-P06804,-41.4879,-6.4075,4.6447
P06804-P29533,-56.0152,-8.9559,17.4254
P41245-P12032,-343.1669,-45.4371,-197.0721
Q9QZM4-P50592,-86.633,-14.2593,-66.2247
P31750-P35918,-234.4227,-44.6993,10.7159
Q60994-P37238,-109.2707,-20.3352,-50.4735
Q01279-P26450,-111.0121,-15.2696,15.0453
O55003-Q91VR7,-128.7347,-20.6462,-49.7543
Q9JLV5-Q9Z2X8,-153.1539,-24.7755,-115.9455
P26450-P05480,-112.9134,-17.108,22.7676
Q60664-P11881,-297.1429,-71.2055,-7.3317
Q01147-P05132,-91.7987,-16.667,-56.2098
Q99MB1-Q80X56,-95.3163,-14.0951,54.772
P30993-P06684,-277.1628,-42.453,-137.1982
Q9JLN9-P26450,-206.0328,-31.6841,32.6099
P13597-P06804,-21.2136,-3.1904,2.173
P13597-P29533,-192.8138,-29.3131,-7.4429
P54071-Q8R104,-86.8281,-11.8954,-46.2159
Q9JLN9-Q61037,0,0,0
P05017-P26450,-40.0749,-5.9218,-2.2903
Q9WV93-Q01705,-168.9781,-27.1155,-49.5176
Q08857-P11032,-49.1457,-6.9941,-8.6742
P12025-Q8C0C0,-69.9667,-9.5405,-11.3637
O89110-Q60855,-209.5024,-30.8058,-88.4338
P70677-Q8C3Q9,-298.181,-43.2545,-138.6948
P25799-Q04207,-264.9179,-42.3128,-180.5505
P55292-O55111,-269.3154,-40.6156,-24.5543
P51637-Q1XH17,-29.8117,-5.8651,-13.9987
Q62386-Q60943,-233.77440000000001,-32.4608,-109.4721
Q61554-P04202,-189.9819,-31.9128,54.7996
A2AMT1-A0A0R4J066,-37.9185,-6.4507,2.3481
F6QYE1-Q9D5L7,-112.1403,-17.6592,-38.0313
Q8BH93-Q9EST8,-81.1841,-11.036,-35.2095
Q9ERZ3-Q0VBK4,-20.7915,-2.3138,0.7094
Q02248-E9Q8G4,-306.596,-46.6369,-110.3961
Q9EST8-P06804,-94.7287,-14.9779,15.6515
P18762-P63094,-147.8304,-21.5462,-77.071
P48787-F8WID5,-310.6862,-48.9406,-149.3879
P48036-Q99LH2,-155.4824,-25.5632,-23.7836
Q8VDJ3-Q8VCC9,-196.8526,-35.1059,92.8753
Q9EST8-Q04207,-224.7523,-34.6162,-118.9848
Q08369-P97305,-104.3049,-20.8372,5.7024
Q9DCB8-E9Q401,0,0,0
P0C605-P70460,-89.0592,-13.5379,-22.7554
Q9Z1E3-Q8R0S6,-300.4081,-47.0363,-35.9111
P18762-Q8R071,-130.1738,-19.1913,-8.5473
A0A2R8VK23-Q8BW70,-564.0234,-77.7498,75.4528
Q9CZW4-Q01705,-320.612,-43.8243,35.7493
Q9EP66-Q99L13,-21.2377,-5.6386,-0.317
F8WIS9-P61014,-98.6913,-13.2657,-28.5435
Q9Z0L4-P04202,-321.4905,-42.1654,-79.334
